Date,Open,High,Low,Close,Volume
2022-11-30,274.86,287.22,274.01,287.11,74718100
2022-12-01,287.44,289.45,284.69,287.47,51547300
2022-12-02,282.4,287.2,282.22,286.32,53583200
2022-12-05,284.2,285.47,280.06,281.52,41482100
2022-12-06,281.36,281.5,274.29,275.68,53937600
2022-12-07,274.5,276.55,272.84,274.56,45614300
2022-12-08,275.91,278.78,273.83,277.81,42594900
2022-12-09,276.79,279.56,275.59,276.04,47860500
2022-12-12,276.21,279.56,275.17,279.5,35732500
2022-12-13,290.33,290.56,279.82,282.5,80667700
2022-12-14,281.92,285.21,277.16,280.41,64984400
2022-12-15,276.32,276.98,269.8,270.99,60554100
2022-12-16,270.32,271.86,266.81,268.41,68300400
2022-12-19,268.68,268.77,263.4,264.64,44167900
2022-12-20,263.47,266.18,261.89,264.43,51064200
2022-12-21,265.47,269.57,264.63,268.27,46394700
2022-12-22,265.26,265.38,257.49,261.71,60278400
2022-12-23,260.44,262.96,258.54,262.29,39373600
2022-12-27,261.69,261.79,258.05,258.59,38009000
2022-12-28,258.18,260.44,254.81,255.17,47139000
2022-12-29,257.98,262.33,257.28,261.39,45893600
2022-12-30,258.63,261.36,257.32,261.23,37858300
2023-01-03,263.56,265.03,257.16,259.47,42335300
2023-01-04,261.59,262.38,257.56,260.7,47754900
2023-01-05,259.04,259.2,256.31,256.62,45396700
2023-01-06,258.36,264.83,255.41,263.71,54659700
2023-01-09,265.7,270.07,264.81,265.41,45568700
2023-01-10,264.38,267.77,263.87,267.66,35247800
2023-01-11,268.73,272.4,267.95,272.29,44077000
2023-01-12,272.85,274.79,268.55,273.76,60600000
2023-01-13,271.26,275.89,270.93,275.65,44802900
2023-01-17,275.45,277.49,274.28,276.21,36269700
2023-01-18,277.75,279.3,272.41,272.61,47754500
2023-01-19,270.99,272.12,268.7,269.94,44150400
2023-01-20,271.55,277.66,270.49,277.32,60613600
2023-01-23,278.17,284.71,277.37,283.48,52799900
2023-01-24,281.87,284.06,281.35,282.91,44875100
2023-01-25,278.39,282.9,275.85,282.28,50872000
2023-01-26,285.7,287.96,283.05,287.78,51596300
2023-01-27,286.47,292.61,286.35,290.65,56441900
2023-01-30,287.38,288.8,284.4,284.77,49405800
2023-01-31,284.81,289.14,284.7,289.04,46705100
2023-02-01,288.83,297.68,286.76,295.22,67562200
2023-02-02,301.74,307.74,300.92,305.81,83070600
2023-02-03,299.16,306.47,298.77,300.38,76170800
2023-02-06,297.76,300.11,296.49,297.84,40802300
2023-02-07,297.71,305.14,296.59,304.01,67584000
2023-02-08,302.69,303.64,297.92,298.6,56720900
2023-02-09,302.99,303.14,294.51,295.96,49137800
2023-02-10,293.81,295.86,291.62,294.02,50050100
2023-02-13,295.42,299.32,294.25,298.73,39636700
2023-02-14,297.15,301.89,295.21,300.94,64079100
2023-02-15,299.12,303.41,298.44,303.24,43100600
2023-02-16,298.61,302.59,297.41,297.55,59498600
2023-02-17,295.37,296.21,292.45,295.45,58230700
2023-02-21,291.63,293.07,288.32,288.46,46526700
2023-02-22,289.04,290.74,287.02,288.67,51389200
2023-02-23,292.32,292.48,287.01,291.2,69294400
2023-02-24,286.23,287.42,284.55,286.32,74332000
2023-02-27,289.48,290.87,287.78,288.37,48995000
2023-02-28,287.74,290.51,287.41,288.0,48243100
2023-03-01,287.7,288.36,284.7,285.68,58287000
2023-03-02,283.19,288.85,282.91,288.05,53565900
2023-03-03,289.79,294.24,289.28,294.0,60511500
2023-03-06,295.24,298.24,294.14,294.34,56736300
2023-03-07,294.38,295.31,290.12,290.73,65955800
2023-03-08,291.15,292.78,289.29,292.18,50876300
2023-03-09,292.68,295.28,286.3,287.11,71456700
2023-03-10,287.28,288.77,281.93,283.08,98593600
2023-03-13,281.3,288.89,279.79,285.18,97123600
2023-03-14,288.73,292.28,287.89,291.74,73602500
2023-03-15,289.13,293.6,287.68,293.27,83631500
2023-03-16,292.35,301.36,291.56,301.0,98198100
2023-03-17,300.91,303.29,297.62,299.57,89923700
2023-03-20,298.96,300.96,296.75,300.64,56359500
2023-03-21,302.57,305.38,301.06,304.93,49757000
2023-03-22,304.86,309.76,300.62,300.78,75791900
2023-03-23,304.52,308.67,301.66,304.35,74576000
2023-03-24,303.93,305.57,301.6,305.47,57195200
2023-03-27,306.17,307.25,302.52,303.38,50287400
2023-03-28,302.8,302.83,299.46,301.77,48585900
2023-03-29,305.46,307.89,304.65,307.27,53274300
2023-03-30,309.75,310.81,307.36,310.18,58354800
2023-03-31,310.4,315.57,310.1,315.34,62138100
2023-04-03,313.21,314.84,311.89,314.57,47126800
2023-04-04,315.01,316.02,312.29,313.51,45875400
2023-04-05,312.56,313.5,308.6,310.41,62795700
2023-04-06,308.76,313.0,307.37,312.51,46916500
2023-04-10,309.58,312.38,307.79,312.33,45134700
2023-04-11,312.29,312.35,309.81,310.33,40113600
2023-04-12,312.28,312.87,307.12,307.58,62813300
2023-04-13,309.34,314.08,308.16,313.61,54613800
2023-04-14,312.05,314.78,310.11,313.02,56278300
2023-04-17,312.61,313.64,310.53,313.28,43007000
2023-04-18,315.4,315.82,312.1,313.3,46746900
2023-04-19,310.9,314.22,310.77,313.16,38960100
2023-04-20,310.19,313.71,309.48,310.77,62462100
2023-04-21,310.4,311.87,308.63,311.09,59002300
2023-04-24,310.87,312.2,308.27,310.44,44043100
2023-04-25,308.81,309.48,304.49,304.59,57121600
2023-04-26,307.98,309.45,305.91,306.43,55400500
2023-04-27,310.2,315.27,309.56,314.77,65430400
2023-04-28,314.53,317.03,313.4,316.94,59712600
2023-05-01,316.48,317.99,315.49,316.57,41013400
2023-05-02,316.51,316.83,312.07,313.81,56519400
2023-05-03,314.18,316.85,311.65,311.76,59882100
2023-05-04,311.53,312.68,309.63,310.66,50224500
2023-05-05,312.92,318.12,310.7,317.26,51806100
2023-05-08,316.8,318.39,315.72,318.05,36465800
2023-05-09,316.39,317.25,315.72,316.03,31768800
2023-05-10,318.47,320.33,315.99,319.47,60446600
2023-05-11,320.02,321.06,318.47,320.51,44278500
2023-05-12,321.05,321.47,317.31,319.37,48432800
2023-05-15,319.84,321.33,318.31,321.09,33375600
2023-05-16,320.38,323.17,320.34,321.46,40019200
2023-05-17,322.52,325.93,321.34,325.35,47486100
2023-05-18,325.74,331.61,325.72,331.39,64213500
2023-05-19,331.61,332.32,329.58,330.65,61554900
2023-05-22,330.39,332.77,330.38,331.76,43015900
2023-05-23,330.04,331.19,327.2,327.55,48216700
2023-05-24,325.59,327.11,323.82,325.87,62891200
2023-05-25,333.23,335.07,330.8,333.8,66862800
